Date,QQQ_Close,QQQ_Volume,^DJI_Close,^DJT_Close
2007-04-02,37.49867630004883,89617700,12382.2998046875,4816.830078125
2007-04-03,37.98902893066406,105814500,12510.2998046875,4901.77978515625
2007-04-04,38.14387512207031,85147200,12530.0498046875,4891.77001953125
2007-04-05,38.33312225341797,54220200,12560.2001953125,4917.06005859375
2007-04-09,38.23849868774414,63050200,12569.1396484375,5010.10009765625
2007-04-10,38.43636703491211,76364500,12573.849609375,4994.72998046875
2007-04-11,38.032047271728516,114012300,12484.6201171875,4970.02001953125
2007-04-12,38.33312225341797,113801300,12552.9599609375,5052.0
2007-04-13,38.41054916381836,94572000,12612.1298828125,5035.0
2007-04-16,38.76326370239258,72803200,12720.4599609375,5104.10009765625
2007-04-17,38.84928894042969,81852300,12773.0400390625,5082.22021484375
2007-04-18,38.720245361328125,82002500,12803.83984375,5162.56982421875
2007-04-19,38.84068298339844,95413000,12808.6298828125,5165.58984375
2007-04-20,39.05573654174805,122377400,12961.98046875,5205.85986328125
2007-04-23,39.115962982177734,85303300,12919.400390625,5161.759765625
2007-04-24,39.313812255859375,108143700,12953.9404296875,5133.60009765625
2007-04-25,39.83857727050781,106818100,13089.8896484375,5243.60009765625
2007-04-26,40.04502868652344,99308300,13105.5,5176.169921875
2007-04-27,40.0622444152832,96536500,13120.9404296875,5122.39013671875
2007-04-30,39.53749465942383,93290500,13062.91015625,5037.35009765625
2007-05-01,39.50307846069336,135044400,13136.1396484375,5034.330078125
2007-05-02,39.933204650878906,91971600,13211.8798828125,5086.14013671875
2007-05-03,40.079437255859375,98003600,13241.3798828125,5155.10009765625
2007-05-04,40.113861083984375,93591800,13264.6201171875,5171.08984375
2007-05-07,40.113861083984375,47487900,13312.9697265625,5165.009765625
2007-05-08,40.199886322021484,95138900,13309.0703125,5217.93017578125
2007-05-09,40.2859001159668,116021000,13362.8701171875,5215.490234375
2007-05-10,39.735347747802734,171196300,13215.1298828125,5121.77001953125
2007-05-11,40.242916107177734,104767900,13326.2197265625,5165.919921875
2007-05-14,39.96762466430664,118899200,13346.7802734375,5118.080078125
2007-05-15,39.657928466796875,179438500,13383.83984375,5126.27001953125
2007-05-16,40.04502868652344,144420500,13487.5302734375,5215.25
2007-05-17,39.855796813964844,109869100,13476.7197265625,5222.3798828125
2007-05-18,40.18269348144531,104961700,13556.5302734375,5213.7099609375
2007-05-21,40.440765380859375,112831400,13542.8798828125,5202.93994140625
2007-05-22,40.47517776489258,98029100,13539.9501953125,5197.18994140625
2007-05-23,40.2859001159668,119220600,13525.650390625,5199.72998046875
2007-05-24,39.709537506103516,206268600,13441.1298828125,5135.9501953125
2007-05-25,39.959022521972656,87143200,13507.2802734375,5147.580078125
2007-05-29,40.26872253417969,99702400,13521.33984375,5206.6298828125
2007-05-30,40.595603942871094,132036500,13633.080078125,5233.77978515625
2007-05-31,40.78485870361328,109457700,13627.6396484375,5292.81982421875
2007-06-01,40.81067657470703,125089800,13668.1103515625,5326.009765625
2007-06-04,40.93111038208008,64782700,13676.3203125,5290.52001953125
2007-06-05,40.93111038208008,151160400,13595.4599609375,5251.5400390625
2007-06-06,40.492374420166016,183166500,13465.669921875,5158.97998046875
2007-06-07,39.864383697509766,221373300,13266.73046875,5034.91015625
2007-06-08,40.354736328125,177587800,13424.3896484375,5120.0
2007-06-11,40.27731704711914,97100400,13424.9599609375,5092.7001953125
2007-06-12,40.036441802978516,153967700,13295.009765625,4994.81982421875
2007-06-13,40.47517776489258,147985300,13482.349609375,5080.4501953125
2007-06-14,40.741844177246094,101531900,13553.73046875,5155.52978515625
2007-06-15,41.118080139160156,100378400,13639.48046875,5176.97998046875
2007-06-18,41.12668228149414,75713200,13612.98046875,5135.75
2007-06-19,41.118080139160156,109621300,13635.419921875,5132.5
2007-06-20,40.73066711425781,161889500,13489.419921875,5106.830078125
2007-06-21,41.10085678100586,143181300,13545.83984375,5152.509765625
2007-06-22,40.71345138549805,153328700,13360.259765625,5108.22021484375
2007-06-25,40.54125213623047,136602600,13352.0498046875,5124.83984375
2007-06-26,40.308807373046875,128211900,13337.66015625,5076.56982421875
2007-06-27,40.928680419921875,141196200,13427.73046875,5129.77001953125
2007-06-28,40.91145324707031,116546300,13422.2802734375,5133.35986328125
2007-06-29,40.980323791503906,124794700,13408.6201171875,5098.8798828125
2007-07-02,41.35053634643555,80863100,13535.4296875,5154.669921875
2007-07-03,41.59159851074219,34803300,13577.2998046875,5219.56005859375
2007-07-05,41.892921447753906,73588500,13565.83984375,5205.669921875
2007-07-06,42.065120697021484,65804300,13611.6796875,5231.2900390625
2007-07-09,42.090938568115234,66768800,13649.9697265625,5279.31982421875
