Date,QQQ_Close,QQQ_Volume,^DJI_Close,^DJT_Close,Difference,SMA,STDEV,z_score,EMA
2022-02-04,349.5465087890625,86318300,35089.73828125,15214.3095703125,19875.4287109375,,,,74618047.58948874
2022-02-07,346.7345886230469,58198100,35091.12890625,15192.9501953125,19898.1787109375,,,,73947845.64706063
2022-02-08,350.6302795410156,64720900,35462.78125,15360.7802734375,20102.0009765625,,,,73571235.62064998
2022-02-09,358.0603332519531,55766400,35768.05859375,15657.900390625,20110.158203125,,,,72844507.63613366
2022-02-10,349.95654296875,112468500,35241.58984375,15390.7001953125,19850.8896484375,,,,74461813.4469037
2022-02-11,338.85528564453125,101569100,34738.05859375,15000.2197265625,19737.8388671875,,,,75568233.30621377
2022-02-14,339.27520751953125,80254400,34566.171875,15120.080078125,19446.091796875,,,,75759505.41616422
2022-02-15,347.7109375,55128800,34988.83984375,15213.1396484375,19775.7001953125,,,,74917435.80734119
2022-02-16,347.623046875,58947100,34934.26953125,15294.51953125,19639.75,19761.027740478516,382.67750143137425,-0.3169189200433421,74265585.36622523
2022-02-17,337.28338623046875,61801400,34312.03125,14999.0595703125,19312.9716796875,19730.737213134766,378.42653468959645,-1.1039541235921442,73756843.1063793
2022-02-18,333.4365539550781,80001500,34079.1796875,14970.9697265625,19108.2099609375,19695.991943359375,383.06401353269524,-1.5344223462841848,74011727.06122096
2022-02-22,330.08758544921875,85967100,33596.609375,14734.98046875,18861.62890625,19658.45037841797,404.22272085570694,-1.9712436512256457,74499701.4668854
2022-02-23,321.6323547363281,86215400,33131.76171875,14523.4697265625,18608.2919921875,19618.358917236328,442.2265279530328,-2.284048697223572,74977893.24374722
2022-02-24,332.4406433105469,130614100,33223.828125,14826.9404296875,18396.8876953125,19569.421325683594,487.2287268193234,-2.4065363264303143,77248758.82563508
2022-02-25,337.5958251953125,78842100,34058.75,15207.2099609375,18851.5400390625,19531.960357666016,495.0841671799342,-1.3743528145512731,77313793.15928262
2022-02-28,338.6015319824219,77515500,33892.6015625,15268.4501953125,18624.1513671875,19480.80386352539,501.8353724064368,-1.707038888530335,77322026.0915568
2022-03-01,333.4169921875,67407000,33294.94921875,15018.3896484375,18276.5595703125,19416.970703125,521.2847954202006,-2.1876930668833916,76917331.14904428
2022-03-02,339.0115661621094,70609000,33891.3515625,15413.33984375,18478.01171875,19366.000732421875,531.0794880847283,-1.6720453973364633,76659848.24500164
2022-03-03,334.1687927246094,71089400,33794.66015625,15403.3701171875,18391.2900390625,19315.514526367188,544.8059608068528,-1.6964287357207313,76432483.01051177
