Metric,Value
Final Equity,181.77
Total Return %,81.77
CAGR %,16.51
Max Drawdown %,7.02
Calmar Ratio,2.35
Sharpe Ratio,1.21
Total Trades,46.0
Profit Factor,3.61
annualized_volatility %,12.0025
annualized_return %,16.0426
